Atleta,Pontos,Media,Preco atual,Preco var,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
36612,12,2.16,16.56,2.7,0.9166666666666666,1.0,0.08333333333333333,0.0,0.16666666666666666,0.25,0.0,0.08333333333333333,0.0,1.0833333333333333,0.4166666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
36612,-0.1,1.99,14.44,-2.12,0.8461538461538461,1.0769230769230769,0.07692307692307693,0.0,0.23076923076923078,0.23076923076923078,0.0,0.07692307692307693,0.0,1.0,0.46153846153846156,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
36612,2.7,2.04,14.69,0.25,0.9285714285714286,1.2857142857142858,0.07142857142857142,0.0,0.21428571428571427,0.21428571428571427,0.0,0.07142857142857142,0.0,1.0714285714285714,0.5,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
36612,4.1,2.18,15.03,0.34,0.8666666666666667,1.4,0.13333333333333333,0.0,0.2,0.2,0.0,0.06666666666666667,0.0,1.0,0.4666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
36612,1,2.11,14.4,-0.63,0.9375,1.5,0.125,0.0,0.1875,0.1875,0.0,0.0625,0.0,1.0625,0.5,0.0,0.1875,0.0,0.0,0.0,0.0,0.0
36612,0,1.99,13.96,-0.44,0.8823529411764706,1.588235294117647,0.11764705882352941,0.0,0.17647058823529413,0.23529411764705882,0.0,0.11764705882352941,0.0,1.0588235294117647,0.5882352941176471,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0
36612,0.9,1.93,14.12,0.16,1.0,1.5555555555555556,0.1111111111111111,0.0,0.16666666666666666,0.2222222222222222,0.0,0.16666666666666666,0.0,1.0555555555555556,0.7222222222222222,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
36612,7,2.2,15.17,1.05,0.9473684210526315,1.631578947368421,0.15789473684210525,0.0,0.21052631578947367,0.2631578947368421,0.0,0.15789473684210525,0.0,1.0526315789473684,0.7368421052631579,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0
36612,2.5,2.21,14.44,-0.73,0.9,1.85,0.15,0.0,0.2,0.25,0.0,0.15,0.0,1.2,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0
36612,3.9,2.29,14.51,0.07,0.9047619047619048,1.7619047619047619,0.14285714285714285,0.0,0.19047619047619047,0.23809523809523808,0.0,0.14285714285714285,0.0,1.2380952380952381,0.7142857142857143,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0
